"Section","Report Title","URL","display_order"
"Fiscal Analysis Reports to Council 2013","13-08-16: Gaming Tax Revenue through June 2013","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/2013%20Five%20Year%20Capital%20Agenda.pdf",1
"Fiscal Analysis Reports to Council 2013","13-07-23: Woodward Willis, LLC Abatement Request","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Woodward%20Willis%20LLC%20Abatement%20Request.pdf",2
"Fiscal Analysis Reports to Council 2013","13-07-23: Sakthi Automotive Abatement Request Corrected","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Sakthi%20Automotive%20Abatement%20Request%20Corrected%20Copy.pdf",3
"Fiscal Analysis Reports to Council 2013","13-07-22: Sakthi Automotive Abatement Request","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Sakthi%20Automotive%20PA%20of%20382.pdf",4
"Fiscal Analysis Reports to Council 2013","13-07-22: Alex & Beck LLC Abatement Request","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/AlexAndBeckLLCPAof146.pdf",5
"Fiscal Analysis Reports to Council 2013","13-06-13: Gaming Tax Revenue through May 2013","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Report%20on%20Gaming%20Tax%20Revenue%20through%20May%202013-2.pdf",6
"Fiscal Analysis Reports to Council 2013","13-05-30: Reso of Override the Mayor's Veto","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Reso%20to%20Override%20Mayor_s%20Veto%205-30-13.pdf",7
"Fiscal Analysis Reports to Council 2013","13-05-22: Green Garage LLC PA 146 of 2000","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Green%20Garage%20LLC%20Abatement%20Request.pdf",8
"Fiscal Analysis Reports to Council 2013","13-05-17: Gaming Tax Revenue through April 2013","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Report%20on%20Gaming%20Tax%20Revenue%20through%20April%202013.pdf",9
"Fiscal Analysis Reports to Council 2013","13-05-15: Grand Price, Inc. Abatement Request","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Grand%20Price%20Inc%20Abatement%20Request.pdf",10
"Fiscal Analysis Reports to Council 2013","13-04-29: Prelim. Review of 13-14 Mayor's Proposed Budget","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Preliminary%20Review%20of%202013-14%20Mayor's%20Proposed%20Budget.pdf",11
"Fiscal Analysis Reports to Council 2013","13-04-24: Quicken Loans PA 328 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Quicken%20Loans%20PA%20328%20Abatement%202013%20CORRECTED.pdf",12
"Fiscal Analysis Reports to Council 2013","13-04-24: GNT Holdings PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/GNT%20Holdings%20PA%20146%20Tax%20Abatement.pdf",13
"Fiscal Analysis Reports to Council 2013","13-04-23: Emergency Manager Appropriation","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Emergency%20Manager%20Appropriation.pdf",14
"Fiscal Analysis Reports to Council 2013","13-04-17: Gaming Tax Revenue through March 2013","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Report%20on%20Gaming%20Tax%20Revenue%20through%20March%202013.pdf",15
"Fiscal Analysis Reports to Council 2013","13-04-04: Gaming Tax Revenue through February 2013","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Report%20on%20Gaming%20Tax%20Revenue%20through%20February%202013.pdf",16
"Fiscal Analysis Reports to Council 2013","13-03-15: Gaming Tax Revenue through January 2013","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Report%20on%20Gaming%20Tax%20Revenue%20through%20January%202013.pdf",17
"Fiscal Analysis Reports to Council 2013","13-03-13: Gaming Tax Revenue through December 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Report%20on%20Gaming%20Tax%20Revenue%20through%20December%202012.pdf",18
"Fiscal Analysis Reports to Council 2013","13-02-20: Amerco Real Estate LLC","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Amerco%20PA%20210%20Tax%20Abatement.pdf",19
"Fiscal Analysis Reports to Council 2013","13-02-15: General Fund Appro as of Dec. 31, 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Status%20of%20Gen%20Fund%20Appro%20as%20of%2012-31-12.pdf",20
"Fiscal Analysis Reports to Council 2013","13-02-01 Review of the Proposed Capital Agenda","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/2013%20Five%20Year%20Capital%20Agenda.pdf",21
"Fiscal Analysis Reports to Council 2013","13-01-24: Public Lighting Authority Legislation Rpt. Update","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Public%20Lighting%20Authority%20Update%202013_01.pdf",22
"Fiscal Analysis Reports to Council 2013","13-01-07: Plan to Address City's Current Cash Flow Crisis","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/Joint%20Mayor%20City%20Council%20Plan%20to%20Address%20Cash%20Flow.pdf",23
"Fiscal Analysis Reports to Council 2012","12-12-17: Gaming Tax Revenue through November 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20November%202012.pdf",24
"Fiscal Analysis Reports to Council 2012","12-12-14: Gaming Tax Revenue through October 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20October%202012.pdf",25
"Fiscal Analysis Reports to Council 2012","12-12-04: Budget Amendment $28 Pension Shortfall","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Budget%20Amendment%202011-12%20$28M%20Pension%20Shortfall.pdf",26
"Fiscal Analysis Reports to Council 2012","12-11-14: Detroit Burgers, Inc PA 255 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Detroit%20Burgers,%20Inc.%20PA%20255%20Tax%20Abatement.pdf",27
"Fiscal Analysis Reports to Council 2012","12-11-02: City Gift Policy","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2013/City%20Gift%20Policy.pdf",28
"Fiscal Analysis Reports to Council 2012","12-10-30: Gaming Tax Revenue through September 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20through%20September%202012.pdf",29
"Fiscal Analysis Reports to Council 2012","12-10-17: Human Services Contracts #2849828 & #2849834","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Human%20Services%20Contracts%202849828%20and%202849834.pdf",30
"Fiscal Analysis Reports to Council 2012","12-10-17: Detroit Manufacturing Systems PA 198 & 328 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Woodward%20SA-PK%20LLC%204-26-12.pdf",31
"Fiscal Analysis Reports to Council 2012","12-10-15: State Senate Bill 1301 Amendment to Port Authority Act","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Port%20Authority%20Legislation%2010_2012.pdf",32
"Fiscal Analysis Reports to Council 2012","12-10-11: Milton Manufacturing PA 198 Amendment Update","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Milton%20Manufacturing%20PA%20198%20Amendment.pdf",33
"Fiscal Analysis Reports to Council 2012","12-10-10: Sherbrooke Land Development PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Sherbrooke%20Land%20Development%20PA%20146%20Tax%20Abatement.pdf",34
"Fiscal Analysis Reports to Council 2012","12-10-10: Chrysler PA 198 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Chrysler%20PA%20198%20Tax%20Abatement.pdf",35
"Fiscal Analysis Reports to Council 2012","12-10-09: Report on Gaming Tax Revenue through August 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20August%202012.pdf",36
"Fiscal Analysis Reports to Council 2012","12-10-01: DIB Land PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/DIB%20Land%20PA%20146%20Tax%20Abatement.pdf",37
"Fiscal Analysis Reports to Council 2012","12-09-26: Whitney Partner's PA 146 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Whitney%20Partners%20PA%20146%20Tax%20Abatement.pdf",38
"Fiscal Analysis Reports to Council 2012","12-09-20: Report on Gaming Tax Revenue through July 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20July%202012.pdf",39
"Fiscal Analysis Reports to Council 2012","12-09-19: Avalon International PA 198 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Avalon%20International%20PA%20198%20Tax%20AbatementCC.pdf",40
"Fiscal Analysis Reports to Council 2012","12-09-19: Anew Life Properties PA 198 Tax Abatemen","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Anew%20Life%20Properties%20PA%20146%20Tax%20Abatement.pdf",41
"Fiscal Analysis Reports to Council 2012","Anew Life Properties PA 146 Tax Abatement.pdf","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Anew%20Life%20Properties%20PA%20146%20Tax%20Abatement.pdf",42
"Fiscal Analysis Reports to Council 2012","12-09-19 Eastern Market Corp Management & Operating Agreement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Eastern%20Market%20Corp%20Management%20Agreement.pdf",43
"Fiscal Analysis Reports to Council 2012","12-09-17: Proposed Belle Isle Lease Agreement Between the City & the State","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Proposed%20Belle%20Isle%20Lease%20Agreement%20with%20the%20State.pdf",44
"Fiscal Analysis Reports to Council 2012","12-08-01: Gaming Tax Revenue Through June 2012","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Report%20on%20Gaming%20Tax%20Revenue%20Through%20June%202012.pdf",45
"Fiscal Analysis Reports to Council 2012","12-07-30: Funding for DWDD's Summer Youth Employment 2012 UPDATE","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Funding%20for%20DWDD's%20Summer%20Youth%20Employment%20UPDAT.pdf",46
"Fiscal Analysis Reports to Council 2012","12-07-18: Dearborn Mid-West Conveyer PA 198 Tax Abatement","https://www.detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/fiscal-analysis-reports/2012/Dearborn%20Mid-West%20Conveyer%20PA%20198%20Abatement.pdf",47
