"Section","Sub Section","Report Title","URL","Display Order"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","36th District Court","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/36th District Court Budget Analysis.pdf","1"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Administrative Hearings, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Admin Hearings Analysis.pdf","2"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Airport Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Airport Budget Analysis.pdf","3"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Auditor General, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Auditor General Budget Analysis.pdf","4"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Board of Ethics","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Board of Ethics Budget Analysis.pdf","5"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Board of Police Commissioners and Detroit Police Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Police Dept and Board of Police Commissioners Budget Analysis.pdf","6"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Budget Department (Non-Departmental)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Non-Departmental Budget Analysis.pdf","7"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Building, Safety, Engineering & Environmental Department (BSEED)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/BSEED.pdf","8"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Charles H. Wright Museum of African American History","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/MAAH Budget Analysis.pdf","9"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","City Clerk, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/City Clerk Budget Analysis.pdf","10"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","City Council","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/City Council Budget Analysis.pdf","11"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Civil Rights, Inclusion & Opportunity (CRIO)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/CRIO Budget Analysis.pdf","12"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Department of Health & Wellness Promotion","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Health Dept. Budget Analysis.pdf","13"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Department of Innovation & Technology (DoIT)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/DoIT Budget Analysis.pdf","14"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Detroit Building Authority","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Detroit Building Authority Budget Analysis.pdf","15"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Detroit Economic Growth Corporation","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/DEGC Budget Analysis.pdf","16"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Detroit Employment Solutions Corp/Workforce Development Board","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Workforce Develop Budget Analysis.pdf","17"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Detroit Transportation Corporation (DTC) - People Mover","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/DTC Budget Analysis.pdf","18"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Detroit/Wayne County Port Authority","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Port Authority Budget Analysis.pdf","19"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Eastern Market Corporation","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Eastern Market Budget Analysis.pdf","20"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Elections, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Elections Dept Budget Analysis.pdf","21"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Fire Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Fire Dept Budget Analysis.pdf","22"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","General Services Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/General Services Budget Analysis.pdf","23"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Historical Society","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Historical Budget Analysis.pdf","24"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Housing & Revitalization Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/HRD Budget Analysis.pdf","25"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Police Dept and Board of Police Commissioners Budget Analysis","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Police Dept and Board of Police Commissioners Budget Analysis.pdf","26"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Human Resources Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Human Resources Budget Analysis.pdf","27"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Inspector General, Office of the","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Inspector General Budget Analysis.pdf","28"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Law Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Law Dept Budget Analysis.pdf","29"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Library Commission","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Library Commission Budget Analysis.pdf","30"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Mayor's Office","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Mayors Office Budget Analysis.pdf","31"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Media Services Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Media Services Budget Analysis.pdf","32"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Municipal Parking Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Municipal Parking Budget Analysis.pdf","33"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Office of the Chief Financial Officer (OCFO)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/OCFO Budget Analysis.pdf","34"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Planning & Development Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/PDD Budget Analysis.pdf","35"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Public Lighting Authority & Public Lighting Department","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Public Lighting Budget Analysis.pdf","36"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Public Works, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/DPW Budget Analysis.pdf","37"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Transportation, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/DOT Budget Analysis.pdf","38"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Zoological Society","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Zoological Society Budget Analysis.pdf","39"
"Budget Analysis Reports","2018 - 2019 Budget Analysis Reports","Zoning Appeals, Board of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018 Budget Analysis Reports/Board of Zoning Appeals Budget Analysis.pdf","40"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","36th District Court","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/36 District Court.pdf","41"
"Budget Analysis Reports","2017 - 2018 Budget Analysis Reports","Administrative Hearings, Department of","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Budget Analysis Reports/2017-2018/DAH Budget Analysis.pdf","42"
