"Certificate of Compliance","School Name","School Type","Safety Inspection Date","Safety Inspection Report","Safety Re-Inspection Date","Safety Re-Inspection Report","Health Inspection Date","Health Inspection Report","Health Re-Inspection Date","Health Re-Inspection Report"
"/Portals/0/docs/Schools/Reports/Academy of Americas COC.pdf","Academy of the Americas","DPS","January 28, 2016","/Portals/0/docs/Schools/Reports/Academy of the Americas PMB.pdf","March 4, 2016","/Portals/0/docs/Schools/Reports/Academy of the Americas PMB2.pdf","","","",""
"/Portals/0/docs/Schools/Reports/Adult Ed Center East COC.pdf","Adult Ed Center - East","DPS","March 2, 2016","/Portals/0/docs/Schools/Reports/Adult Ed Center East PMB.pdf","","","","","",""
"/Portals/0/docs/Schools/Reports/Adult Ed West COC.pdf","Adult Ed Center - West","DPS","February 29, 2016","/Portals/0/docs/Schools/Reports/Adult Ed Center West PMB.pdf?ver=2016-03-07-174048-023","April 4, 2016","/Portals/0/docs/Schools/Reports/Adult Ed Center West PMB2.pdf","","","",""
"/Portals/0/docs/Schools/Reports/Holmes COC.pdf","A.L. Holmes Elementary-Middle School","DPS","January 15, 2016","/Portals/0/docs/Schools/Reports/A L Holmes PMB.pdf","February 18, 2016","/Portals/0/docs/Schools/Reports/Holmes PMB2.pdf","February 1, 2016","/Portals/0/docs/Schools/Reports/Holmes DHD.pdf","April 26, 2016","/Portals/0/docs/Schools/Reports/Holmes DHD2.pdf"
"/Portals/0/docs/Schools/Reports/A2 Trail COC.pdf","Ann Arbor Trail Magnet School","DPS","January 26, 2016","/Portals/0/docs/Schools/Reports/Ann Arbor Trail PMB.pdf","March 9, 2016","/Portals/0/docs/Schools/Reports/Ann Arbor Trail PMB2.pdf","","","",""
"/Portals/0/docs/Schools/Reports/Bagley Elementary COC.pdf","Bagley Elementary School","DPS","February 2, 2016","/Portals/0/docs/Schools/Reports/Bagley PMB.pdf","March 11, 2016","/Portals/0/docs/Schools/Reports/Bagley PMB2.pdf","","","",""
"/Portals/0/docs/Schools/Reports/Bates COC.pdf","Bates Academy","DPS","January 29, 2016","/Portals/0/docs/Schools/Reports/Bates PMB.pdf","March 3, 2016","/Portals/0/docs/Schools/Reports/Bates PMB2.pdf","","","",""
"/Portals/0/docs/Schools/Reports/CofC-Beard-Early-Learning-Neighborhood-Center.pdf","Beard Early Learning Neighborhood Center","DPS","February 3, 2016","/Portals/0/docs/Schools/Reports/Beard PMB.pdf","","","","","",""
"/Portals/0/docs/Schools/Reports/Carson COC.pdf","Benjamin Carson High School for Science and Medicine","DPS","January 14, 2016","/Portals/0/docs/Schools/Reports/Ben Carson PMB.pdf","February 19, 2016","/Portals/0/docs/Schools/Reports/Carson PMB2.pdf","","","",""
"/Portals/0/docs/Schools/Reports/Bennett COC.pdf","Bennett Elementary School","DPS","February 5, 2016","/Portals/0/docs/Schools/Reports/Bennett PMB.pdf","March 14, 2016","/Portals/0/docs/Schools/Reports/Bennett PMB2.pdf","","","",""
